店舗名,住所,電話番号,HP,詳細URL
еұӢеҸ°еұ…й…’еұӢ еӨ§йҳӘ жәҖгғһгғ« JRйҮҺз”°еә—,еӨ§йҳӘеәңеӨ§йҳӘеёӮзҰҸеі¶еҢәеҗүйҮҺ3-1-12,06-4804-6868,,https://tabelog.com/osaka/A2701/A270108/27109012/
カレーライス専門店 めんふくろう,大阪府 大阪市福島区 野田 1-1-86 大阪市中央卸売市場本場 飲食棟,050-3561-2960,,https://tabelog.com/osaka/A2701/A270108/27114420/
大輝（ダイキ）,大阪府 大阪市福島区 野田 1-1-86 大阪市中央卸売市場本場 市場東棟1F 南４通り Q-4,06-6469-7075,http://oshokujidokorodaiki.blog130.fc2.com/,https://tabelog.com/osaka/A2701/A270108/27031115/
ひよ子,大阪府 大阪市福島区 福島 3-12-1,06-6451-2899,,https://tabelog.com/osaka/A2701/A270108/27028054/
バー モクシー（Bar Moxy）,大阪府 大阪市福島区 福島 7-22-1,06-6743-4971,https://barmoxy.moxyosakashinumeda.com/,https://tabelog.com/osaka/A2701/A270108/27121250/
シェフトルティエ,大阪府 大阪市福島区 海老江 7-1-33,06-6454-8631,,https://tabelog.com/osaka/A2701/A270108/27056543/
il luogo di TAKEUCHI（イル ルォーゴ ディ タケウチ）,大阪府 大阪市福島区 福島 5‐1‐26 MF 西梅田ビル1F,06-6451-0151,https://www.takeuchi-italia.jp/,https://tabelog.com/osaka/A2701/A270108/27050186/
Bistro Mons（ビストロ モンス）,大阪府 大阪市福島区 鷺洲 4-4-22,06-6616-8380,,https://tabelog.com/osaka/A2701/A270108/27137928/
1ポンドのステーキハンバーグ タケル 福島店,大阪府 大阪市福島区 福島 5-6-11 福ビル 1F,06-6457-2929,https://steak-takeru.jp/,https://tabelog.com/osaka/A2701/A270108/27071222/
ブルームーン（ＢＡＲブルームーン）,大阪府 大阪市福島区 福島 3-10-7,06-6453-0054,,https://tabelog.com/osaka/A2701/A270108/27049708/
こなもんや 愛力,大阪府 大阪市福島区 大開 1-13,,,https://tabelog.com/osaka/A2701/A270108/27050779/
匠家 TERU（しょうや・てる）,大阪府 大阪市福島区 福島 3-11-7,06-6452-5655,,https://tabelog.com/osaka/A2701/A270108/27008275/
COFFEE&DESSERT S CAFE（エスカフェ）,大阪府 大阪市福島区 福島 7-1-10 OK2番街,06-6476-8399,,https://tabelog.com/osaka/A2701/A270108/27131234/
プラス イー クロス（Plus e Closs）,大阪府 大阪市福島区 福島 6-16-1 DEL style 大阪新梅田 1F,06-4256-7645,https://plus-e-cross.com/,https://tabelog.com/osaka/A2701/A270108/27119814/
ＬＥＥ（香港小菜）,大阪府 大阪市福島区 福島 7-5-20 びびる　２Ｆ,06-6455-3990,,https://tabelog.com/osaka/A2701/A270108/27013899/
地魚屋台　とっつぁん 福島店,大阪府 大阪市福島区 福島 7-1 OK２番街,050-5456-6793,,https://tabelog.com/osaka/A2701/A270108/27043289/
カフェ エ ビストロ ボンヌ シェール（cafe et Bistrot Bonne Chere）,大阪府 大阪市福島区 福島 5-6-2,06-6452-2400,,https://tabelog.com/osaka/A2701/A270108/27001080/
路地裏居酒屋こうじ,大阪府 大阪市福島区 福島 1-6-27,06-7777-5518,,https://tabelog.com/osaka/A2701/A270108/27136565/
たこやき風風 本店,大阪府 大阪市福島区 大開 3-1-16 マルビル1Ｆ,06-4804-0708,http://www.fufu22.co.jp/,https://tabelog.com/osaka/A2701/A270108/27014421/
SEVEN SUMMITS,大阪府 大阪市福島区 吉野 2-1-11,050-5600-6953,,https://tabelog.com/osaka/A2701/A270108/27136924/
ドンナマンマ（Donna Mamma）,大阪府 大阪市北区 大淀南 2-9-22,06-6459-7840,,https://tabelog.com/osaka/A2701/A270108/27062186/
おうどん 蓬,大阪府 大阪市福島区 鷺洲 2-10-6 カミーノ鷺洲 1F,090-2432-0688,,https://tabelog.com/osaka/A2701/A270108/27133688/
じゃんぼ総本店 ＪＲ野田駅前店,大阪府 大阪市福島区 吉野 3-7-7,06-6465-5566,,https://tabelog.com/osaka/A2701/A270108/27074407/
ラーメン まこと屋 福島分店,大阪府 大阪市福島区 海老江 1-5-35,06-6147-3319,,https://tabelog.com/osaka/A2701/A270108/27143297/
和風やすらぎ カルモ,大阪府 大阪市福島区 福島 2-9-11 フォーラム福島5 １Ｆ,06-6455-6639,,https://tabelog.com/osaka/A2701/A270108/27053073/
ぐるぐるねぎま,大阪府 大阪市福島区 1-6-12,,,https://tabelog.com/osaka/A2701/A270108/27099483/
Fukushima MASQ（フクシマ マスク）,大阪府 大阪市福島区 大開 1-13-32,050-5872-6456,https://masq.space/,https://tabelog.com/osaka/A2701/A270108/27121482/
あじ平,大阪府 大阪市福島区 福島 7-7-7,06-4796-2901,http://fugu-ajihei.jp,https://tabelog.com/osaka/A2701/A270108/27013194/
出入橋きんつば屋（でいりばしきんつばや）,大阪府 大阪市北区 堂島 3-4-10,06-6451-3819,,https://tabelog.com/osaka/A2701/A270108/27003802/
にこみたび（nicomi Tabi ）,大阪府 大阪市福島区 吉野 2-11-15,080-3827-5253,,https://tabelog.com/osaka/A2701/A270108/27139545/
焼肉ライク 大阪福島駅前,大阪府 大阪市福島区 福島 7-6-23 日の出ビル 1F,,https://www.yakiniku-like.com/,https://tabelog.com/osaka/A2701/A270108/27116672/
蓮生,大阪府 大阪市福島区 福島 2-9-22,06-6346-0089,,https://tabelog.com/osaka/A2701/A270108/27011194/
屋台ラーメン丸徳,大阪府 大阪市福島区 福島 1丁目6-18,06-6454-5310,,https://tabelog.com/osaka/A2701/A270108/27012117/
カフェ・ド・クリエ 毎日インテシオ店,大阪府 大阪市北区 梅田 3-4-5 毎日インテシオ 2Ｆ,06-6451-8110,http://www.pokkacreate.co.jp/,https://tabelog.com/osaka/A2701/A270108/27048324/
韓国料理 ハルバン,大阪府 大阪市福島区 福島 3-11-26,06-7506-3263,,https://tabelog.com/osaka/A2701/A270108/27120460/
ふくすけ,大阪府 大阪市福島区 福島 5-13-1 上翔ビル 2F,06-6453-5538,https://www.fukusuke1115.jp/,https://tabelog.com/osaka/A2701/A270108/27006096/
立呑 ぱぐちゃん,大阪府 大阪市福島区 吉野 2-13-13,,,https://tabelog.com/osaka/A2701/A270108/27121462/
MONDIAL KAFFEE 328 GOLD RUSH（モンディアルカフェサンニーハチゴールドラッシュ）,大阪府 大阪市福島区 福島 2-8-22 FUKUDA B.D 1F,06-6454-6699,https://www.mondial-kaffee328.com/,https://tabelog.com/osaka/A2701/A270108/27088252/
う越貞（うおさだ）,大阪府 大阪市福島区 福島 5-17-20 日之出ビル　１Ｆ,06-6458-1153,http://uosada.com/,https://tabelog.com/osaka/A2701/A270108/27001233/
細うどん よしの江,大阪府 大阪市北区 大淀南 2-1-1,06-6225-8567,,https://tabelog.com/osaka/A2701/A270108/27141804/
かつアンドかつ 福島大開店,大阪府 大阪市福島区 大開 4-1-142,06-4804-6789,https://www.katsuandkatsu.jp,https://tabelog.com/osaka/A2701/A270108/27036687/
LIEN（リアン）,大阪府 大阪市北区 大淀南 1-11-5 IDビル B1F,06-6131-7015,https://lien-restaurant.com/,https://tabelog.com/osaka/A2701/A270108/27134756/
Stand Loop,大阪府 大阪市福島区 吉野 1-22-5,080-8717-3792,,https://tabelog.com/osaka/A2701/A270108/27133373/
炉ばた焼 焔家,大阪府 大阪市福島区 福島 5-12-19,090-6148-0857,,https://tabelog.com/osaka/A2701/A270108/27145677/
イマスカフェ（i’m no Park）,大阪府 大阪市福島区 鷺洲 1-1-5,06-7506-6274,,https://tabelog.com/osaka/A2701/A270108/27103333/
焼肉 ひかり,大阪府 大阪市福島区 野田 3-2-15,06-6460-1562,,https://tabelog.com/osaka/A2701/A270108/27062956/
南風（なんぷう）,大阪府 大阪市福島区 海老江 5丁目1-16,06-6452-4711,,https://tabelog.com/osaka/A2701/A270108/27004850/
福島聖天通り・炙りいなり寿司 iNaRi,大阪府 大阪市福島区 福島 8-18-4,06-6476-8814,,https://tabelog.com/osaka/A2701/A270108/27124877/
Coffee&Cocktails Blüte（ブリューテ）,大阪府 大阪市福島区 福島 1-6-14 2F,,,https://tabelog.com/osaka/A2701/A270108/27144996/
カレーハウスCoCo壱番屋 JR野田駅店,大阪府 大阪市福島区 吉野 3-1-43,06-4804-1551,,https://tabelog.com/osaka/A2701/A270108/27078615/
井津長,大阪府 大阪市北区 堂島 3-4-11,06-6451-5026,,https://tabelog.com/osaka/A2701/A270108/27010392/
天下一品 野田阪神店（てんかいっぴん）,大阪府 大阪市福島区 大開 1-3-5,06-6465-0010,http://www.tenkaippin.co.jp/,https://tabelog.com/osaka/A2701/A270108/27002699/
福島 桜屋（さくらや）,大阪府 大阪市福島区 福島 5-12-19 南出ビル 1F,,https://sakuraya-gr.com,https://tabelog.com/osaka/A2701/A270108/27039561/
焼鳥 わたかべ,大阪府 大阪市福島区 福島 7-8-3 福本ビル 2F,06-7223-8635,,https://tabelog.com/osaka/A2701/A270108/27142715/
餃子の王将 福島店,大阪府 大阪市福島区 福島 5-14-9,06-6458-5330,http://www.ohsho.co.jp/,https://tabelog.com/osaka/A2701/A270108/27016963/
Cafe&Bar Sabaidee（カフェアンドバーサバイディー）,大阪府 大阪市福島区 鷺洲 2-10-26,06-6136-7474,http://profile.ameba.jp/cafe-n-bar-sabaidee/,https://tabelog.com/osaka/A2701/A270108/27077489/
魚場 春夏秋冬,大阪府 大阪市北区 大淀南 2-1-1,06-4797-0303,,https://tabelog.com/osaka/A2701/A270108/27051688/
ごはん処 源平桃（ごはんどころ げんぺいもも）,大阪府 大阪市福島区 福島 5-1-5 ハイツアケボノ 2F,06-7181-4130,,https://tabelog.com/osaka/A2701/A270108/27096987/
和,大阪府 大阪市福島区 海老江 1-3-1,06-6450-0753,,https://tabelog.com/osaka/A2701/A270108/27049029/
善（ZEN）,大阪府 大阪市福島区 吉野 2-13-12,06-6441-2180,,https://tabelog.com/osaka/A2701/A270108/27025690/
天喜,大阪府 大阪市福島区 福島 2丁目1-43,06-6450-0850,,https://tabelog.com/osaka/A2701/A270108/27005165/
ジュテームカフェ リーガロイヤル店,大阪府 大阪市北区 中之島 5-3-68 リーガロイヤルホテル(大阪) B1F,06-7223-8946,https://www.rihga.co.jp/osaka/restaurant/list/jetaime-cafe,https://tabelog.com/osaka/A2701/A270108/27130145/
ザ・リッツ・カールトン・チョコレートブティック（The Ritz,大阪府 大阪市北区 梅田 2-5-25 ザ・リッツ・カールトン大阪 1F,06-6343-7000,http://www.ritz-carlton.co.jp/,https://tabelog.com/osaka/A2701/A270108/27019181/
香港楼（ホンコンロウ）,大阪府 大阪市西区 江戸堀 2-7-4 エスポアール江戸堀 1F,06-6443-0668,,https://tabelog.com/osaka/A2701/A270108/27075117/
アットザバー（at the bar.）,大阪府 大阪市福島区 福島 7-8-8 1F,06-6345-2177,,https://tabelog.com/osaka/A2701/A270108/27075037/
千陽 福島店（ちはる）,大阪府 大阪市福島区 福島 7-9-1,06-6450-0082,http://www.chiharu.biz/,https://tabelog.com/osaka/A2701/A270108/27066760/
炭火焼鳥おうひ,大阪府 大阪市福島区 福島 5-6-50,06-6131-6337,,https://tabelog.com/osaka/A2701/A270108/27134280/
鳥貴族 福島店,大阪府 大阪市福島区 福島 7-9-29 制動ビル1F,050-1807-6624,https://www.torikizoku.co.jp/shops/detail/0142,https://tabelog.com/osaka/A2701/A270108/27040007/
地獄谷 餃子さんかく,大阪府 大阪市福島区 吉野 2-13-8,080-6226-4939,,https://tabelog.com/osaka/A2701/A270108/27101622/
フライ ボーイ バーガー&コーヒー（FLY BOY BURGER & COFFEE）,大阪府 大阪市福島区 鷺洲 1-3-6,06-7709-1800,,https://tabelog.com/osaka/A2701/A270108/27117125/
バー　ジャムー（BAR　JAMU）,大阪府 大阪市福島区 福島 7-6-6 2F,080-2382-2687,,https://tabelog.com/osaka/A2701/A270108/27054187/
夫婦うどん 野田阪神店,大阪府 大阪市福島区 吉野 1-8-12,06-6447-2567,,https://tabelog.com/osaka/A2701/A270108/27052053/
seiyogasi J+s（セイヨウガシ ジェイズ）,大阪府 大阪市福島区 福島 2-8-6,06-7494-1830,,https://tabelog.com/osaka/A2701/A270108/27136861/
担々麺 青藍 福島店,大阪府 大阪市福島区 福島 2-8-4,,,https://tabelog.com/osaka/A2701/A270108/27147659/
CAFE&BAR 満天の空,大阪府 大阪市福島区 吉野 3-7-9 NBMビル 2F,06-4256-6099,http://mantennosora.jp,https://tabelog.com/osaka/A2701/A270108/27109130/
バール ハグ（Bar Hug）,大阪府 大阪市福島区 福島 7-3-16,06-6454-0089,,https://tabelog.com/osaka/A2701/A270108/27050710/
ポールライト JCHO大阪病院店,大阪府 大阪市福島区 福島 4-2-78 4F,,,https://tabelog.com/osaka/A2701/A270108/27115596/
多幸屋2組（タコヤニクミ）,大阪府 大阪市福島区 福島 2-8-14,06-6136-3108,https://takoya-fukushima.com/,https://tabelog.com/osaka/A2701/A270108/27092884/
日本料理・天ぷら 花座（はなざ）,大阪府 大阪市福島区 福島 5-6-16 ホテル阪神大阪 2F,06-6344-1665,https://www.hankyu-hotel.com/home/hotel/hs/hanshin/contents/restaurants/hanaza/,https://tabelog.com/osaka/A2701/A270108/27014214/
ボクラギョロクシー,大阪府 大阪市福島区 福島 7-13-2 エスポワール福島 1F,06-6110-5474,,https://tabelog.com/osaka/A2701/A270108/27133257/
天狐らーめん 福島店,大阪府 大阪市福島区 福島 2-2-2 1F,06-6743-4724,,https://tabelog.com/osaka/A2701/A270108/27147520/
NAYUTAKO（ナユタコ）,大阪府 大阪市福島区 鷺洲 2-10-25,06-6110-5318,https://nayutako.studio.site/,https://tabelog.com/osaka/A2701/A270108/27130215/
さぬきや,大阪府 大阪市福島区 吉野 3-1-12,06-6462-5589,,https://tabelog.com/osaka/A2701/A270108/27112653/
カモシヤ クスモト（kamoshiya Kusumoto）,大阪府 大阪市福島区 福島 5-17-14,06-6455-8827,,https://tabelog.com/osaka/A2701/A270108/27010572/
らぁ麺もう利 福島店,大阪府 大阪市福島区 福島 3-10-11,06-6616-8887,,https://tabelog.com/osaka/A2701/A270108/27137851/
バッテラロック✕ソバサンカク 福島店,大阪府 大阪市福島区 福島 5-12-9 サンフラット2 1F,06-7777-5507,,https://tabelog.com/osaka/A2701/A270108/27147404/
PALM 福島店,大阪府 大阪市福島区 福島 1-2-17 MeetMe梅田西 1F,06-6940-7899,,https://tabelog.com/osaka/A2701/A270108/27105620/
旬花,大阪府 大阪市福島区 吉野 2-1-4,06-6443-7731,,https://tabelog.com/osaka/A2701/A270108/27035276/
九州ラーメン　片岡製作所,大阪府 大阪市福島区 福島 5-6-35 実宏ビル１Ｆ,06-6147-2255,,https://tabelog.com/osaka/A2701/A270108/27046951/
福島　やまがそば,大阪府 大阪市福島区 福島 7-14-18,06-6451-8229,,https://tabelog.com/osaka/A2701/A270108/27054074/
さば料理専門店 SABAR 大阪福島店（サバー【旧店名】とろさば料理専門店 SABAR 大阪福島本店）,大阪府 大阪市福島区 福島 2-2-2 シティサイドステージ福島 1F,06-6147-3801,http://sabar38.com,https://tabelog.com/osaka/A2701/A270108/27077064/
ダルブリガンテ（Dal Brigante）,大阪府 大阪市福島区 福島 3-6-14,06-6451-4605,,https://tabelog.com/osaka/A2701/A270108/27004565/
カレーハウスバーゴ（Virgo）,大阪府 大阪市福島区 海老江 1-1-17,06-6458-2136,,https://tabelog.com/osaka/A2701/A270108/27037816/
ふな定福島庵（上方風地焼き鰻）,大阪府 大阪市福島区 福島 5丁目12番地16号,06-6453-2731,http://funasada.com/,https://tabelog.com/osaka/A2701/A270108/27015578/
LA BEL（ラベル）,大阪府 大阪市福島区 福島 5-13-2 1F,06-6131-7375,https://www.labeltobabel.com/,https://tabelog.com/osaka/A2701/A270108/27122342/
新福島 たいよう,大阪府 大阪市福島区 福島 1-2-35 パインブルックリン 1F,06-6136-3767,,https://tabelog.com/osaka/A2701/A270108/27113691/
本場インド・ネパール料理店 RARA（ホンバインドネパールリョウリ テンララ）,大阪府 大阪市福島区 鷺洲 2-11-4,06-6453-2077,,https://tabelog.com/osaka/A2701/A270108/27105004/
屋台風かすうどん　かすまる 福島店,大阪府 大阪市福島区 福島 7-11-51,06-6455-2055,,https://tabelog.com/osaka/A2701/A270108/27075902/
日々一泡ブルワリー（HIBI HITOAWA BREWERY）,大阪府 大阪市福島区 福島 8-1-1,070-1739-8066,https://www.dailyservice.co.jp/craftbeer/,https://tabelog.com/osaka/A2701/A270108/27146289/
パンド,大阪府 大阪市北区 大淀中 2-3-16,06-6453-3798,,https://tabelog.com/osaka/A2701/A270108/27054170/
六徳 恒河沙（リットク ゴウガシャ）,大阪府 大阪市福島区 福島 2-9-10,06-6454-3696,,https://tabelog.com/osaka/A2701/A270108/27114367/
カフェうえすたん,大阪府 大阪市福島区 福島 6-9-11 神林堂ビル 1F,06-6458-3113,http://cafewestern.com/,https://tabelog.com/osaka/A2701/A270108/27072145/
結笑和,大阪府 大阪市福島区 吉野 2-2-17,06-6441-0888,,https://tabelog.com/osaka/A2701/A270108/27126012/
酒肴飯ブリオ,大阪府 大阪市福島区 福島 7-11-51 福ろうじ商店街 南側51号,070-9024-3335,,https://tabelog.com/osaka/A2701/A270108/27130963/
鮨 かなさ,大阪府 大阪市福島区 福島 4-4-24,06-6147-6171,,https://tabelog.com/osaka/A2701/A270108/27072635/
ビッレリア&ピッツェリア ルーチェ（LUCE）,大阪府 大阪市福島区 福島 7-1 OK2番街,06-6345-7477,http://www.anjou.co.jp/shop/luce/,https://tabelog.com/osaka/A2701/A270108/27068666/
すみやき ヒノコ,大阪府 大阪市福島区 福島 3-11-25,06-7709-0993,https://www.sumiyaki-hinoko.com/,https://tabelog.com/osaka/A2701/A270108/27115084/
大ちゃんラーメン,大阪府 大阪市福島区 福島 1-6-3 水本ビル 1F,,,https://tabelog.com/osaka/A2701/A270108/27151268/
勘之助（KANNOSUKE）,大阪府 大阪市福島区 福島 3-8-10,,,https://tabelog.com/osaka/A2701/A270108/27112174/
菱東,大阪府 大阪市福島区 福島 5-7-9,06-6451-5094,,https://tabelog.com/osaka/A2701/A270108/27010132/
こんぴらさん,大阪府 大阪市福島区 大開 1-14-5,06-6463-3595,,https://tabelog.com/osaka/A2701/A270108/27002700/
魚丼 福島店,大阪府 大阪市福島区 福島 5-1-9 かがやビル 1F,06-4797-7757,,https://tabelog.com/osaka/A2701/A270108/27138725/
焼肉ホルモンいずみ,大阪府 大阪市福島区 大開 1-15-23,06-4256-5299,,https://tabelog.com/osaka/A2701/A270108/27112095/
ボンマルシェ食堂,大阪府 大阪市福島区 吉野 2-3-9,06-6448-0256,,https://tabelog.com/osaka/A2701/A270108/27062087/
BAR RENEE（BAR RENÉE）,大阪府 大阪市福島区 福島 3-14-4,06-6451-3355,https://www.shinpudo.com/renee.html,https://tabelog.com/osaka/A2701/A270108/27111101/
あぶりや 福島駅前店,大阪府 大阪市福島区 福島 5-6-16 ホテル阪神 B1F,06-6453-4929,http://www.1dining.co.jp,https://tabelog.com/osaka/A2701/A270108/27087828/
バー カバト（Bar Kabato）,大阪府 大阪市福島区 福島 5-11-7,06-6458-3123,,https://tabelog.com/osaka/A2701/A270108/27059409/
森のくじら,大阪府 大阪市福島区 福島 6丁目11-13 シャトー西梅田1F,06-6136-3338,http://morikuji.com/,https://tabelog.com/osaka/A2701/A270108/27046307/
イーカ スーク （EeeK,大阪府 大阪市福島区 福島 7-8-7,06-6225-7835,,https://tabelog.com/osaka/A2701/A270108/27087413/
銀や 福島店（ぎんや）,大阪府 大阪市福島区 福島 5-15-11 1F,06-6344-1727,,https://tabelog.com/osaka/A2701/A270108/27038150/
Neo Thai（ネオタイ）,大阪府 大阪市福島区 福島 1-4-39,06-6110-5075,https://osaka-neothai.com,https://tabelog.com/osaka/A2701/A270108/27007692/
天ぷら、酒あて 勇,大阪府 大阪市福島区 大開 1-20-11,090-4229-0819,,https://tabelog.com/osaka/A2701/A270108/27134367/
ミスタードーナツ 福島ショップ,大阪府 大阪市福島区 福島 7丁目6-23 日の出ビル,06-6451-0590,https://www.misterdonut.jp/,https://tabelog.com/osaka/A2701/A270108/27044531/
うどん 讃く（さんく）,大阪府 大阪市福島区 福島 2-8-3,06-6455-6613,,https://tabelog.com/osaka/A2701/A270108/27066859/
やきとり ひろ（【旧店名】 にはとりや）,大阪府 大阪市福島区 福島 7-3-18,06-6450-1089,,https://tabelog.com/osaka/A2701/A270108/27044564/
セレーネ,大阪府 大阪市福島区 吉野 3-1-1,06-6461-4078,,https://tabelog.com/osaka/A2701/A270108/27049952/
キッチン725,大阪府 大阪市福島区 吉野 2-13-18,,,https://tabelog.com/osaka/A2701/A270108/27118768/
創楽酒場 中島商店,大阪府 大阪市北区 大淀中 2-6-29,06-7638-9631,,https://tabelog.com/osaka/A2701/A270108/27132235/
焼とり Kakuiro（やきとり かくいろ）,大阪府 大阪市福島区 福島 3-14-9,06-4256-8699,,https://tabelog.com/osaka/A2701/A270108/27100354/
FlowerQuiche 本店（フラワーキッシュ ）,大阪府 大阪市福島区 海老江 1-5-52 そよら海老江店 1F,06-6131-5138,https://peraichi.com/landing_pages/view/flowerquiche/,https://tabelog.com/osaka/A2701/A270108/27128203/
鉄板酒場 ちょいちょい,大阪府 大阪市福島区 福島 5-14-12 プラザ2ビル 3F,06-6147-6157,,https://tabelog.com/osaka/A2701/A270108/27090948/
サイゼリヤ 大阪ガーデンシティ店,大阪府 大阪市北区 梅田 3-3-20 明治安田生命大阪梅田ビル B1F,06-4797-7225,http://www.saizeriya.co.jp/index.php,https://tabelog.com/osaka/A2701/A270108/27074169/
鮮や丸,大阪府 大阪市福島区 吉野 3-7-6,06-6110-5358,https://sushiosaka2022.wixsite.com/senyamaru,https://tabelog.com/osaka/A2701/A270108/27067247/
一本松（いっぽんまつ）,大阪府 大阪市福島区 福島 5-14-10,06-6455-8787,,https://tabelog.com/osaka/A2701/A270108/27001179/
得正 西梅田店（トクマサ）,大阪府 大阪市北区 梅田 2-5-13 桜橋第1ビル 103,06-6136-5241,http://www.tokumasa.net/original101.html,https://tabelog.com/osaka/A2701/A270108/27089860/
小料理酒場 モジョカ・クーカイ（【旧店名】隠れ家創作餃子 クーカイ）,大阪府 大阪市福島区 福島 1-6-28 1F,06-6451-5514,,https://tabelog.com/osaka/A2701/A270108/27106678/
口八町 福島店,大阪府 大阪市福島区 福島 7-6-6,06-6450-1441,,https://tabelog.com/osaka/A2701/A270108/27053173/
勝男 野田阪神応援団,大阪府 大阪市福島区 海老江 5-1-11,06-4256-8879,https://katsuo-web.com/,https://tabelog.com/osaka/A2701/A270108/27138183/
げんき水産,大阪府 大阪市福島区 野田 1-1-86 大阪中央卸売市場本場,,,https://tabelog.com/osaka/A2701/A270108/27150140/
さんま半立ち食堂,大阪府 大阪市福島区 吉野 2-9-1,080-4970-1919,,https://tabelog.com/osaka/A2701/A270108/27130563/
もみじ亭,大阪府 大阪市福島区 吉野 2-6-7,06-6444-6340,,https://tabelog.com/osaka/A2701/A270108/27031321/
モダン タイ シエル（Modern Thai CIEL）,大阪府 大阪市福島区 福島 3-12-5,06-6147-2188,https://ciel-ciel.jp/,https://tabelog.com/osaka/A2701/A270108/27117855/
E,大阪府 大阪市福島区 福島 5-12-9 サンフラット２ 1F,06-7505-2189,http://www.e-bar.jp/,https://tabelog.com/osaka/A2701/A270108/27040454/
かどや,大阪府 大阪市福島区 福島 7-4-30 サンビーム福島1階,06-6147-9868,,https://tabelog.com/osaka/A2701/A270108/27049875/
がじゅまる食堂,大阪府 大阪市福島区 福島 1-7-10 聖和ビル 1F,06-7710-4499,http://ameblo.jp/matsuda1222/entrylist.html,https://tabelog.com/osaka/A2701/A270108/27087928/
イタリア料理とワイン MARE VIGNA（イタリアリョウリトワインマーレヴィーニャ）,大阪府 大阪市福島区 福島 1-6-27,06-7710-2067,,https://tabelog.com/osaka/A2701/A270108/27089290/
なか田（なかた）,大阪府 大阪市北区 中之島 5-3-68 リーガロイヤルホテル B1F,06-6448-0239,http://www.rihga.co.jp/osaka/,https://tabelog.com/osaka/A2701/A270108/27004462/
しゃぶ扇 野田阪神店（しゃぶせん）,大阪府 大阪市福島区 海老江 1-1-23 ウイステ４Ｆ,06-6457-0932,,https://tabelog.com/osaka/A2701/A270108/27005295/
チャイニーズ食堂菜々,大阪府 大阪市福島区 福島 6-17-6 1F,06-6457-6626,,https://tabelog.com/osaka/A2701/A270108/27066480/
地下の店,大阪府 大阪市福島区 鷺洲 1-11-1,06-4977-0560,,https://tabelog.com/osaka/A2701/A270108/27113151/
アニバーサリー 2001（Anniversary 2001）,大阪府 大阪市北区 大淀南 1-10-3,06-6455-7257,https://anniversary2001.com/,https://tabelog.com/osaka/A2701/A270108/27124420/
エスラスカフェ（esras.Cafe）,大阪府 大阪市福島区 福島 6-14-18,06-6147-2406,http://esras.jp/,https://tabelog.com/osaka/A2701/A270108/27087458/
スパイスサンジュウニ 福島店（spice32）,大阪府 大阪市福島区 福島 1-2-7 D-Rest 中之島 1F,050-5783-8680,,https://tabelog.com/osaka/A2701/A270108/27095469/
ウィンブルドン,大阪府 大阪市福島区 福島 2-2-4,050-5589-7046,,https://tabelog.com/osaka/A2701/A270108/27037566/
麺屋 煮干組。,大阪府 大阪市福島区 海老江 5-1-9 寿ハイツ 1F,070-1805-8150,,https://tabelog.com/osaka/A2701/A270108/27148721/
立ち呑み ジャックとマチルダ,大阪府 大阪市福島区 福島 5-6-8,,https://www.kuramaproject.com/,https://tabelog.com/osaka/A2701/A270108/27092474/
喫茶 Stove（ストーブ）,大阪府 大阪市福島区 鷺洲 2-10-3,06-4981-0875,http://kissastove.blog64.fc2.com/,https://tabelog.com/osaka/A2701/A270108/27019048/
サクラ（SaKuRa）,大阪府 大阪市福島区 福島 5-6-12 シュエット吉本　２Ｆ,06-6457-0390,,https://tabelog.com/osaka/A2701/A270108/27001182/
BAR 宮崎,大阪府 大阪市福島区 福島 2-10-13 1F,06-6454-1123,,https://tabelog.com/osaka/A2701/A270108/27106497/
鉄板Dining新井,大阪府 大阪市福島区 福島 3-11-25,06-6136-7716,,https://tabelog.com/osaka/A2701/A270108/27077978/
マクドナルド 野田阪神店（McDonald's）,大阪府 大阪市福島区 海老江 1-1-14,06-6455-1036,http://www.mcdonalds.co.jp/,https://tabelog.com/osaka/A2701/A270108/27060903/
小鯛雀鮨 すし萬 リーガロイヤルホテル店（すしまん）,大阪府 大阪市北区 中之島 5-3-68 リーガロイヤルホテル B1F,06-6446-0012,http://www.sushiman.co.jp/,https://tabelog.com/osaka/A2701/A270108/27000804/
韓国食堂 入ル,大阪府 大阪市福島区 福島 3-8-10,06-4256-6910,https://yamazakihajime.com/,https://tabelog.com/osaka/A2701/A270108/27076081/
麺友（めんとも）,大阪府 大阪市福島区 福島 6-22-16,,,https://tabelog.com/osaka/A2701/A270108/27010729/
サンパティーク（sympathique）,大阪府 大阪市北区 大淀南 3-5-14 ロイヤルハイツ 1F,,https://g.page/sympath,https://tabelog.com/osaka/A2701/A270108/27092666/
有楽,大阪府 大阪市北区 大淀中 3-1-25,06-6454-4146,,https://tabelog.com/osaka/A2701/A270108/27023320/
カナリアカリー,大阪府 大阪市福島区 玉川 2-9-16,,,https://tabelog.com/osaka/A2701/A270108/27119080/
はせ川,大阪府 大阪市福島区 吉野 3-2-56 OK14番街,06-6461-6617,,https://tabelog.com/osaka/A2701/A270108/27088946/
鮨さえき,大阪府 大阪市福島区 大開 1-15-21,06-6131-5586,,https://tabelog.com/osaka/A2701/A270108/27105029/
Alla Pace（アッラパーチェ）,大阪府 大阪市福島区 福島 3-8-9,06-6453-1153,http://www.allapace.com/,https://tabelog.com/osaka/A2701/A270108/27011869/
